time,站點,人次
2018-12-01 01:00:00,台大醫院,9
2018-12-01 01:00:00,台電大樓,2
2018-12-01 01:00:00,唭哩岸,2
2018-12-01 01:00:00,善導寺,6
2018-12-01 01:00:00,國父紀念館,2
2018-12-01 01:00:00,圓山,4
2018-12-01 01:00:00,土城,0
2018-12-01 01:00:00,士林,9
2018-12-01 01:00:00,大坪林,0
2018-12-01 01:00:00,大安,3
2018-12-01 01:00:00,大安森林公園,2
2018-12-01 01:00:00,大橋頭站,2
2018-12-01 01:00:00,大湖公園,0
2018-12-01 01:00:00,大直,3
2018-12-01 01:00:00,奇岩,1
2018-12-01 01:00:00,小南門,1
2018-12-01 01:00:00,小碧潭,0
2018-12-01 01:00:00,市政府,10
2018-12-01 01:00:00,府中,8
2018-12-01 01:00:00,後山埤,0
2018-12-01 01:00:00,徐匯中學,0
2018-12-01 01:00:00,復興崗,0
2018-12-01 01:00:00,忠孝復興,23
2018-12-01 01:00:00,忠孝敦化,16
2018-12-01 01:00:00,忠孝新生,12
2018-12-01 01:00:00,忠義,0
2018-12-01 01:00:00,文德,0
2018-12-01 01:00:00,新北投,2
2018-12-01 01:00:00,新埔,3
2018-12-01 01:00:00,新店,0
2018-12-01 01:00:00,新店區公所,0
2018-12-01 01:00:00,新莊,1
2018-12-01 01:00:00,昆陽,1
2018-12-01 01:00:00,明德,3
2018-12-01 01:00:00,景安,0
2018-12-01 01:00:00,景美,2
2018-12-01 01:00:00,木柵,0
2018-12-01 01:00:00,東湖,2
2018-12-01 01:00:00,東門,5
2018-12-01 01:00:00,松山,3
2018-12-01 01:00:00,松山機場,0
2018-12-01 01:00:00,松江南京,17
2018-12-01 01:00:00,板橋,27
2018-12-01 01:00:00,民權西路,12
2018-12-01 01:00:00,永安市場,0
2018-12-01 01:00:00,永寧,0
2018-12-01 01:00:00,永春,2
2018-12-01 01:00:00,江子翠,2
2018-12-01 01:00:00,海山,1
2018-12-01 01:00:00,淡水,6
2018-12-01 01:00:00,港墘,0
2018-12-01 01:00:00,石牌,10
2018-12-01 01:00:00,科技大樓,0
2018-12-01 01:00:00,竹圍,2
2018-12-01 01:00:00,紅樹林,0
2018-12-01 01:00:00,芝山,6
2018-12-01 01:00:00,菜寮,1
2018-12-01 01:00:00,萬芳社區,0
2018-12-01 01:00:00,萬芳醫院,0
2018-12-01 01:00:00,萬隆,1
2018-12-01 01:00:00,葫洲,0
2018-12-01 01:00:00,蘆洲,0
2018-12-01 01:00:00,行天宮,9
2018-12-01 01:00:00,西湖,2
2018-12-01 01:00:00,西門,36
2018-12-01 01:00:00,象山,0
2018-12-01 01:00:00,輔大,0
2018-12-01 01:00:00,辛亥,0
2018-12-01 01:00:00,迴龍,1
2018-12-01 01:00:00,關渡,1
2018-12-01 01:00:00,雙連,13
2018-12-01 01:00:00,頂埔,0
2018-12-01 01:00:00,頂溪,0
2018-12-01 01:00:00,頭前庄,0
