sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
0341,捷運芝山站(1號出口),38,23,士林區,20200927193426,25.100940,121.522430,文林路 / 福華路口(東側),Shilin Dist.,MRT Zhishan Sta.(Exit.1),Wenlin Rd. / Fuhua Rd. Intersection,15,1
0342,文林建民路口,30,20,北投區,20200927193437,25.107790,121.514680,文林北路224-238號(東南側),Beitou Dist.,Wenlin & Jianmin Intersection,"No.224 - 238, Wenlin N. Rd.",10,1
0343,忠孝東路六段185巷口,30,17,南港區,20200927193421,25.049040,121.587550,忠孝東路六段187號(東南側),Nangang Dist.,"Ln. 185, Sec. 6, Zhongxiao E. Rd","No.187, Sec. 6, Zhongxiao E. Rd.",13,1
0344,捷運忠孝復興站(5號出口),42,14,大安區,20200927193416,25.042640,121.544010,復興南路一段133號(西南側)(鄰近東區地下街),Daan Dist.,MRT Zhongxiao Fuxing Sta.(Exit.5),"No.133, Sec. 1, Fuxing S. Rd.",28,1
0345,中正運動中心,52,14,中正區,20200927193437,25.038060,121.519430,信義路一段1號(西側)(鄰近臺北市青少年發展處/中正親子館),Zhongzheng Dist.,Zhongzheng Sports Center,"No.1, Sec. 1, Xinyi Rd.",38,1
0346,陽明高中,36,26,士林區,20200927193437,25.091570,121.516690,中正路510號(西南側),Shilin Dist.,Yangming High School,"No.510, Zhongzheng Rd.",9,1
0347,博愛寶慶路口,26,9,中正區,20200927193438,25.041340,121.511350,博愛路 / 寶慶路口(西北側)(鄰近總統府/中山堂),Zhongzheng Dist.,Boai & Baoqing Intersection,Bo’ai Rd. / Baoqing Rd. intersection,17,1
0348,民生立體停車場,24,8,松山區,20200927193445,25.058522,121.55942,民生東路五段82號(東側),Songshan Dist.,Minsheng Parking Lot,"No.82, Sec. 5, Minsheng E. Rd.",16,1
0349,重慶酒泉街口,28,10,大同區,20200927193435,25.071830,121.513640,重慶北路三段272號(東側)(鄰近保安宮),Datong Dist.,Chongqing & Jiuquan Intersection,"No.272, Sec. 3, Chongqing N. Rd.",18,1
0350,復興南路二段128巷口,32,12,大安區,20200927193439,25.029040,121.543360,復興南路二段144-3號前方,Daan Dist.,"Ln. 128, Sec. 2, Fuxing S. Rd.","No.144-3, Sec. 2, Fuxing S. Rd.",20,1
0351,中山青島路口,38,22,中正區,20200927193430,25.044690,121.519540,中山南路 / 青島東路口東北側,Zhongzheng Dist.,Zhongshan & Qingdao Intersection,Zhongshan S. Rd. / Qingdao E. Rd. intersection,14,1
0352,民權迪化街口,46,15,大同區,20200927193424,25.063180,121.509440,迪化街一段351號(東北側)(鄰近延三夜市(大橋頭夜市)),Datong Dist.,Minquan & Dihua Intersection,"No.351, Sec. 1, Dihua St.",31,1
0353,紀州庵,30,16,中正區,20200927193442,25.020880,121.520490,水源路 / 同安街口 (東側),Zhongzheng Dist.,Kishu An Forest of Literature,"No.107, Tong’an St.",14,1
0354,建國濟南路口,28,13,大安區,20200927193428,25.040033,121.538084,建國南路一段/濟南路三段口(東南側),Daan Dist.,Jianguo & Jinan Intersection,"Sec. 1, Jianguo S. Rd. / Sec. 3, Jinan Rd. intersection",15,1
0355,福山公園,34,9,南港區,20200927193417,25.044780,121.617590,研究院路二段61巷15號(東側),Nangang Dist.,Fushan Park,"No.15, Ln. 61, Sec. 2, Academia Rd.",24,1
0356,臺北市網球中心,32,14,內湖區,20200927193424,25.067400,121.597490,民權東路六段/民權東路六段210巷口(西南側),Neihu Dist.,Taipei Tennis Center,"Sec. 6, Minquan E. Rd. / Ln. 210, Sec. 6, Minquan E. Rd. intersection",18,1
0357,松友公園,26,5,信義區,20200927193419,25.034230,121.576360,信義路六段76巷2弄16號(南側),Xinyi Dist.,@Songyou Park,"No.16, Aly. 2, Ln. 76, Sec. 6, Xinyi Rd.",21,1
0358,新明成功路口,30,15,內湖區,20200927193444,25.060580,121.591100,新明路/成功路二段口(西南側),Neihu Dist.,Xinming & Chenggong Intersection,"Xinming Rd. / Sec. 2, Chenggong Rd. intersection",15,1
0359,健安新城,34,14,松山區,20200927193439,25.056010,121.563580,三民路41號(東側),Songshan Dist.,Jianan Sincheng,"No.41, Sanmin Rd. ",18,1
0360,民權建國路口,44,24,中山區,20200927193427,25.062520,121.537540,民權東路三段/建國北路三段口(東北側)(鄰近建國假日花市),Zhongshan Dist.,Minquan & Jianguo Intersection,"Sec. 3, Minquan E. Rd. / Sec. 3, Jianguo N. Rd. intersection",20,1
0361,振興醫院,32,16,北投區,20200927193416,25.117700,121.522200,振興街/明德路口(西北側)(鄰近國立臺北護理健康大學),Beitou Dist.,Cheng Hsin General Hospital,"No.41, Zhenxing St. / No.41, Mingde Rd. intersection",16,1
0362,和平金山路口,30,14,大安區,20200927193443,25.026720,121.525330,和平東路一段 / 金山南路二段口(西南側)(鄰近臺灣師範大學),Daan Dist.,Heping & Jinshan Intersection,"Sec. 1, Heping E. Rd. / Sec. 2, Jinshan S. Rd. intersection",16,1
0363,復興南路一段340巷口,32,10,大安區,20200927193433,25.036170,121.543500,復興南路一段322號(東南側),Daan Dist.,"Ln. 340, Sec. 1, Fuxing S. Rd.","No.322, Sec. 1, Fuxing S. Rd.",22,1
0364,嘉興公園,38,21,大安區,20200927193431,25.021090,121.552190,樂業街101巷 / 樂業街口(北側側),Daan Dist.,Jiaxing Park,"Ln. 101, Leye St. / Leye St. intersection",17,1
0365,陽明大學,50,30,北投區,20200927193431,25.119120,121.512230,東華街二段136號(南側),Beitou Dist.,National Yang-Ming University,"No.136, Sec. 2, Donghua St.",19,1
0366,碧湖公園,42,17,內湖區,20200927193436,25.079880,121.582870,內湖路二段/內湖路二段103巷口(東北側)(鄰近碧湖公園),Neihu Dist.,Bihu Park,"Sec. 2, Neihu Rd. / Ln. 103, Sec. 2, Neihu Rd. intersection",25,1
0367,豐年公園,30,7,北投區,20200927193415,25.135970,121.497019,大業路539號(東側),Beitou Dist.,Fengnian Park,"No.539, Daye Rd.",23,1
0368,臺灣戲曲中心,44,19,士林區,20200927193418,25.102080,121.519790,文林路751號(南側)(鄰近臺灣戲曲中心),Shilin Dist.,The Xiqu Center of Taiwan,"No.751, Wenlin Rd.",25,1
0369,世新大學,34,3,文山區,20200927193430,24.988620,121.543610,木柵路一段17巷1號(西側),Wenshan Dist.,Shih Hsin University,"No.1, Ln. 17, Sec. 1, Muzha Rd.",31,1
0370,新和國小,32,10,萬華區,20200927193419,25.026560,121.502420,中華路二段416巷/萬大路277巷37弄口(東側),Wanhua Dist.,Xinhe Elementary School,"Ln. 416, Sec. 2, Zhonghua Rd. / Aly. 37, Ln. 277, Wanda Rd. intersection",20,1
0371,南門國中,38,7,中正區,20200927193435,25.035320,121.508340,廣州街8巷/廣州街口(東南側),Zhongzheng Dist.,Nanmen Junior High School,"Ln. 8, Guangzhou St. / Guangzhou St. intersection",31,1
0372,重慶民族路口,26,6,大同區,20200927193427,25.068250,121.513590,重慶北路三段154號(前方/東側),Datong Dist.,Chongqing & Minzu Intersection,"No.154, Sec. 3, Chongqing N. Rd.",20,1
0373,中崙福成宮,32,11,松山區,20200927193425,25.045250,121.546635,市民大道四段63號(鄰近微風廣場/黑松世界),Songshan Dist.,Zhonglun Fucheng Temple,"No.63, Sec. 4, Civic Blvd.",21,1
0374,麗湖國小,34,11,內湖區,20200927193425,25.073322,121.602225,金湖路363巷5號對側,Neihu Dist.,Lihu Elementary School,"No.5, Ln. 363, Jinhu Rd.",23,1
0375,銘傳大學,48,7,士林區,20200927193442,25.087714,121.526766,中山北路五段250號(銘傳大學對側)(鄰近銘傳大學/士林夜市),Shilin Dist.,Ming Chuan University,"No.250, Sec. 5, Zhongshan N. Rd.",41,1
0376,民生建國路口,36,19,中山區,20200927193416,25.057778,121.536915,民生東路三段 / 建國北路二段口,Zhongshan Dist.,Minsheng & Jianguo Intersection,"Sec. 3, Minsheng E. Rd. / Sec. 2, Jianguo N. Rd.",17,1
0377,南港路二段178巷口,30,17,南港區,20200927193445,25.053675,121.599693,南港路二段 / 南港路二段178巷口(北側),Nangang Dist.,"Ln. 178, Sec. 2, Nangang Rd.","No.146, Sec. 2, Nangang Rd.",13,1
0378,陽光街321巷口,42,0,內湖區,20200828094422,25.073193,121.578691,陽光街321巷 / 陽光街口(南側),Neihu Dist.,"Ln. 321, Yangguang St.","Ln. 321, Yangguang St. / Yangguang St.",0,0
0379,春光公園,38,14,信義區,20200927193432,25.042619,121.580762,忠孝東路五段721號(對側),Xinyi Dist.,Chunguang Park,"No.721, Sec. 5, Zhongxiao E. Rd.",24,1
0380,塔悠疏散門,30,3,松山區,20200927193430,25.064713,121.567899,塔悠路 / 撫遠街389巷口(南側),Songshan Dist.,Tayou Evacuation Gate,"Tayou Rd. / Ln. 389, Fuyuan St.",26,1
0381,民權東路六段15巷,30,6,內湖區,20200927193444,25.068530,121.578125,民權東路六段15巷35號,Neihu Dist.,"Ln. 15, Sec. 6, Minquan E. Rd.","No.35, Ln. 15, Sec. 6, Minquan E. Rd.",24,1
0382,聯合醫院和平院區,42,17,中正區,20200927193437,25.035160,121.506390,中華路二段33號(南側),Zhongzheng Dist.,City Hospital (Heping Branch),"No.33, Sec. 2, Zhonghua Rd.",25,1
0383,一壽橋,26,12,文山區,20200927193432,24.978480,121.555450,樟新街64號前方,Wenshan Dist.,Yishou Bridge,"No.64, Zhangxin St.",14,1
0384,松基公園,30,10,松山區,20200927193418,25.054910,121.544800,長春路339巷 / 復興北路189巷口,Songshan Dist.,Songji Park,"Ln. 339, Changchun Rd. / Ln. 189, Fuxing N. Rd. intersection",20,1
0385,和興路26巷口,40,26,文山區,20200927193421,24.985600,121.545310,和興路44巷 / 和興路26巷口,Wenshan Dist.,"Ln.26 ,Hexing Rd.","Ln. 44, Hexing Rd. / Ln. 26, Hexing Rd. intersection",13,1
0386,錦州吉林路口,30,13,中山區,20200927193423,25.060290,121.529810,錦州街162號前方,Zhongshan Dist.,Jinzhou & Jilin Intersection,"No.162, Jinzhou St.",17,1
0387,吳興街260巷,32,17,信義區,20200927193423,25.026100,121.563160,吳興街260巷 / 吳興街260巷19弄口(鄰近台北醫學大學),Xinyi Dist.,"Ln. 260,Wuxing St.","Ln. 260, Wuxing St. / Aly. 19, Ln. 260, Wuxing St.",15,1
0388,景華街128巷口,24,16,文山區,20200927193434,24.995563,121.547092,景華街126號前方,Wenshan Dist.,"Ln.128,Jinghua St.","No.126, Jinghua St.",7,1
0389,福德國小,30,2,信義區,20200927193433,25.038324,121.586245,福德街251巷2號(對面/東側),Xinyi Dist.,Fude Elementary School,"No.2, Ln. 251, Fude St.",28,1
0390,稻香重三路口,34,14,北投區,20200927193423,25.139937,121.489594,稻香路 / 稻香路43巷口(西北側),Beitou Dist.,Daoxiang & Chongsan Intersection,"Daoxiang Rd. / Ln. 43, Daoxiang Rd.",20,1
0391,景仁公園,30,23,文山區,20200927193416,24.996600,121.540295,景仁街 / 羅斯福路六段142巷口(北側),Wenshan Dist.,Jingren Park,"Jingren St. / Ln. 142, Sec. 6, Roosevelt Rd.",7,1
0392,南京東興路口,30,3,松山區,20200927193431,25.051489,121.565347,南京東路五段 / 東興路口(北側),Songshan Dist.,Nanjing & Dongxing Intersection,"Sec. 5, Nanjing E. Rd. / Dongxing Rd.",27,1
0393,內溝溪生態展示館,24,16,內湖區,20200927193419,25.087217,121.623062,康樂街236之3號(西北側),Neihu Dist.,Neigousi Eological Exhibition Hall,"No.236-3, Kangle St.",8,1
0394,松德虎林街口,32,13,信義區,20200927193440,25.038352,121.576248,松德路71號前方,Xinyi Dist.,Songde & Hulin Intersection,"No.71, Songde Rd.",19,1
0395,安強公園,28,5,信義區,20200927193422,25.036844,121.575413,虎林街212巷58號(西南側),Xinyi Dist.,Anciang Park,"No.58, Ln. 212, Hulin St.",23,1
0396,新東街51巷口,28,5,松山區,20200927193434,25.061501,121.563318,三民路 / 新東街51巷口(東側)(鄰近松山親子館),Songshan Dist.,"Ln.51,Xindong St.","Sanmin Rd. / Ln. 51, Xindong St. intersection",23,1
0397,劍潭海外青年活動中心,36,10,士林區,20200927193427,25.079603,121.523700,通河街 / 通河街2巷(南側)(鄰近圓山大飯店/劍潭公園)(鄰近芝山岩/芝山巖惠濟宮/芝山文化生態綠園),Shilin Dist.,Chientan Overseas Youth Activity Center,"Tonghe St. / Ln. 2, Tonghe St. intersection",24,1
0398,聯合醫院陽明院區,30,12,士林區,20200927193445,25.104546,121.531949,雨聲街105號(南側),Shilin Dist.,Taipei City Hospital (Yangming Branch),"No.105, Yusheng St.",18,1
0399,和平龍泉街口,34,25,大安區,20200927193443,25.026404,121.529460,和平東路一段178號(前側)(鄰近臺灣師範大學),Daan Dist.,Heping & Longquan Intersection,"No.178, Sec. 1, Heping E. Rd.",9,1
0400,和平敦化路口,34,21,大安區,20200927193435,25.024440,121.549076,和平東路三段 / 敦化南路二段口(東側),Daan Dist.,Heping & Dunhua Intersection,"Sec. 3, Heping E. Rd. / Sec. 2, Dunhua S. Rd. intersection",12,1
0401,南京新生路口,34,21,中山區,20200927193419,25.051944,121.527661,新生北路一段 / 南京東路一段口(橋墩下方)(鄰近林森公園/康樂公園),Zhongshan Dist.,Nanjing & Xinsheng Intersection,"Sec. 1, Xinsheng N. Rd. / Sec. 1, Nanjing E. Rd.",12,1
0402,下灣公園,28,7,內湖區,20200927193444,25.065159,121.595611,民權東路六段206巷 / 民權東路六段190巷75弄口,Neihu Dist.,Siawan Park,"Ln. 206, Sec. 6, Minquan E. Rd. / Aly. 75, Ln. 190, Sec. 6, Minquan E. Rd.",21,1
0403,捷運內湖站(1號出口),28,10,內湖區,20200927193432,25.083868,121.593929,成功路四段182巷 / 成功路四段182巷6弄口(東南側),Neihu Dist.,MRT Neihu Sta.1(Exit.1),"Ln. 182, Sec. 4, Chenggong Rd. / Aly. 6, Ln. 182, Sec. 4, Chenggong Rd.",18,1
0404,民族延平路口,30,5,大同區,20200927193428,25.068653,121.510569,民族西路 310 號前方,Datong Dist.,Minzu & Yanping Intersection,"No.310, Minzu W. Rd.",25,1
