sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
0034,捷運行天宮站(1號出口),32,22,中山區,20200927193430,25.058369,121.532934,捷運行天宮1號出口後方(松江路側),Zhongshan Dist.,MRT Xingtian Temple Sta. (Exit 1),The side of Songjiang Rd.(the exit 1 of the MRT station of Xingtian Temple),10,1
0035,捷運行天宮站(3號出口),30,10,中山區,20200927193432,25.059978,121.533302,捷運行天宮站3號出口站外,Zhongshan Dist.,MRT Xingtian Temple Sta. (Exit 3),The outside of the MRT station of Xingtian Temple.,20,1
0036,臺大資訊大樓,72,18,大安區,20200927193422,25.02101,121.54153,辛亥路二段(臺大外語學院外),Daan Dist.,NTU Information Bldg.,"Sec. 2, Xinghai Rd. (the outside ofLanguage Center of National Taiwan University)",54,1
0037,捷運東門站(4號出口),46,21,大安區,20200927193425,25.0337,121.528988,信義路/麗水街口(鄰近永康街),Daan Dist.,MRT Dongmen Sta. (Exit 4),Ren’ai Rd. & Lishuei St. ,25,1
0038,臺灣師範大學(圖書館),32,22,大安區,20200927193429,25.026603,121.529440,和平東路/師大路口(北側)(鄰近臺灣師範大學),Daan Dist.,NTNU Library,The N. side of Heping E. Rd. & Shihda Rd.,10,1
0039,南港世貿公園,26,10,南港區,20200927193444,25.058,121.61422,三重路/經貿二路88巷(東北側),Nangang Dist.,Nangang Park,"The N.E. side of Sanchong Rd. & Ln. 88, Jingmao 2nd Rd.",16,1
0040,玉成公園,34,14,南港區,20200927193424,25.04287,121.58640,玉成街247號前,Nangang Dist.,Yucheng Park,"The front of No. 247, Yucheng St.",20,1
0041,中研公園,30,9,南港區,20200927193421,25.047425,121.613706,研究院路二段12巷/研究院路二段12巷58弄(西南側),Nangang Dist.,Academia Park,"The S.W side of Ln. 12, Sec. 2, Academia Rd. & Aly. 58, Ln. 12, Sec. 2, Academia Rd.",21,1
0042,捷運後山埤站(1號出口),38,23,信義區,20200927193427,25.04431,121.58174,中坡北路/忠孝東路五段(西北側),Xinyi Dist.,MRT Houshanpi Sta.(Exit 1),The S.W side of Jhongsiao E. Rd. & Jhongpo N. Rd.,15,1
0043,凌雲市場,30,10,南港區,20200927193425,25.035639,121.614154,研究院路三段68巷/凌雲街(東北側),Nangang Dist.,Linyun Market,The N.E. side of St. Lingyun & Academia Rd.,20,1
0044,捷運南港軟體園區站(2號出口),36,14,南港區,20200927193438,25.05973,121.616187,捷運南港軟體園區站2號出口外,Nangang Dist.,MRT Nangang Software Park Sta.(Exit 2),The outside of the MRT station exit 2 of Taipei Nangang Exhibition Center,22,1
0045,捷運公館站(2號出口),30,21,大安區,20200927193416,25.01476  ,121.534538 ,羅斯福路四段/舟山路(東北側)(鄰近公館夜市),Daan Dist.,MRT Gongguan Sta.(Exit 2),The N.W. side of Roosevelt Rd.& Sinhai Rd.,9,1
0046,南港國小,58,23,南港區,20200927193415,25.056504,121.611389,惠民街/興東街(南側停車場),Nangang Dist.,Nangang Elementary School,The opposite of parking lots of exit Singdong St. (Nan-Gang Elementary School),35,1
0047,捷運忠孝新生站(4號出口),34,0,大安區,20200825084229,25.042275,121.533939,忠孝東路三段 / 新生南路一段口 東北側(鄰近國立台北科技大學),Daan Dist.,MRT Zhongxiao Xinsheng Sta.(Exit 4),"The intersection of Sec. 3, Zhongxiao E. Rd. & Ln. 10, Sec. 3, Zhongxiao E. Rd.",0,0
0048,南港車站(忠孝東路),38,18,南港區,20200927193417,25.05247,121.608202,忠孝東路七段與忠孝東路七段415巷交叉口(鄰近南港高鐵站),Nangang Dist.,Nangang Rail Sta.(Zhongxiao E.Rd.),"The intersection of Sec. 7, Zhongxiao E. Rd. & Ln. 415, Sec. 7, Zhongxiao E. Rd",20,1
0049,龍門廣場,52,13,大安區,20200927193419,25.040901,121.548252  ,忠孝東路/敦化南路(西南側廣場）(鄰近東區地下街),Daan Dist.,Longmen Square,"Sec. 1, Dunhua S. Rd. & Ln. 236, Sec. 1, Dunhua S. Rd.",38,1
0050,民權運動公園,52,7,松山區,20200927193437,25.062002,121.560186,民權東路四段/新中街交叉口,Songshan Dist.,MinQuan Park,"The intersection of Sec. 4, Mincyuan E. Rd. & Xinzhong St.",45,1
0051,建國農安街口,44,14,中山區,20200927193425,25.065031,121.536775  ,建國北路/農安街口(中油旁邊空地)(鄰近榮星公園(原榮星花園)),Zhongshan Dist.,Jianguo & Nongan Intersection,(Behind empty area of CPC coporation) Jianguo N. Rd. & Nong’an St.,30,1
0052,建國長春路口,30,9,中山區,20200927193421,25.054761,121.536925,建國北路/長春路口(北側),Zhongshan Dist.,Jianguo & Changchun Intersection,The N. side of Jianguo N. Rd. & Changchun Rd.,21,1
0053,八德市場,26,11,中山區,20200927193437,25.044781,121.536609,建國南路一段/市民大道交叉口(北側) (鄰近國立台北科技大學),Zhongshan Dist.,Bade Market,"The intersection of Sec.1, Jianguo S. Rd. & Civic Blvd.",15,1
0054,臺北市立圖書館(總館),30,13,大安區,20200927193437,25.028798,121.538073,建國南路二段/建國南路二段151巷(東北側),Daan Dist.,Taipei Public Library,"The N.E. side of Sec. 2, Jianguo S. Rd. & Ln. 151, Sec. 2, Jianguo S. Rd.",17,1
0055,臺北田徑場,46,13,松山區,20200927193425,25.049505,121.549408,敦化北路3號(鄰近臺北小巨蛋/台北田徑場),Songshan Dist.,Taipei Stadium,"No.3, Dunhua N. Rd.",32,1
0056,仁愛林森路口,42,7,中正區,20200927193420,25.038954,121.522334,林森南路/仁愛路一段路口(東北側)(鄰近臺北市青少年發展處/中正親子館),Zhongzheng Dist.,Renai & Linsen Intersection,"The N.E. side of Linsen S. Rd & Sec. 1, Ren’ai Rd.(42)",35,1
0057,新生和平路口,46,15,大安區,20200927193439,25.026217,121.53519,新生南路二段/和平東路二段(東北側),Daan Dist.,Xinsheng & Heping Intersection,"The N.E. side of Sec. 2, Xinsheng S. Rd. & Sec. 2, Heping E. Rd",31,1
0058,捷運善導寺站(1號出口),48,0,中正區,20200813092028,25.045267,121.522200 ,天津街/忠孝東路一段(東北側)(鄰近台北國際藝術村/蝴蝶宮昆蟲博物館/台北希望廣場),Zhongzheng Dist.,MRT Shandao Temple Sta(Exit 1),"The N.E. side of Tianjin St. & Sec. 1, Zhongxiao E. Rd.",0,0
0059,林森公園,32,18,中山區,20200927193424,25.052227,121.525805,林森北路/南京東路一段(鄰近林森公園/康樂公園),Zhongshan Dist.,Linsen Park,"Linsen N. Rd. & Sec. 1, Nanjing E. Rd.",14,1
0060,中山行政中心,30,7,中山區,20200927193443,25.064317,121.533487 ,松江路/農安街口(鄰近行天宮),Zhongshan Dist.,Zhongshan Dist. Admin. Office,Songjiang Rd. & Nong’an St.,23,1
0061,台灣科技大學,86,8,大安區,20200927193436,25.0131,121.539723 ,基隆路四段/基隆路四段73巷交叉口(鄰近國立台灣科技大學),Daan Dist.,N.T.U.S.T,"The intersection of Sec. 4, Keelung Rd. & Ln. 73, Sec. 4, Keelung Rd",76,1
0062,南昌公園,34,8,中正區,20200927193422,25.026827,121.520258,和平西路一段/南昌路,Zhongzheng Dist.,Nanchang Park,"Sec. 1, Heping W. Rd.& Nanchang Rd.",26,1
0063,仁愛醫院,36,5,大安區,20200927193416,25.037569,121.545632,大安路一段/仁愛路四段,Daan Dist.,Taipei City Hospital Renai Branch,"Da’an Rd. & Sec. 4, Sinyi Rd.",31,1
0064,國家圖書館,50,25,中正區,20200927193424,25.037773,121.517029,中山南路/貴陽街口(西南側)(鄰近台北賓館),Zhongzheng Dist.,National Central Library,The S.W. side of Zhongshan S. Rd. & Guiyang St.,24,1
0065,青年公園3號出口,38,7,萬華區,20200927193425,25.022725,121.502708 ,青年路/青年路106巷(東側)(鄰近青年公園),Wanhua Dist.,Youth Park(Exit 3),"The E. side of Qingnian Rd. & Ln. 106, Qingnian Rd.",31,1
0066,師範大學公館校區,42,18,文山區,20200927193417,25.007528,121.537188 ,師大公館校區校門口(汀州路側),Wenshan Dist.,NTNU Gongguan Campus,The side of Tingzhou Rd. (National Taiwan Normal University- Gongguan Campus),24,1
0067,捷運臺大醫院(4號出口),48,35,中正區,20200927193437,25.042973,121.516428,公園路/襄陽路(西南側)(鄰近二二八和平紀念公園/國立臺灣博物館/台北賓館),Zhongzheng Dist.,MRT Nat’l Taiwan U. Hospital Sta.(Exit 4),The S.W. side of Gongyuan Rd. & Siangyang Rd.,13,1
0068,國興青年路口,36,4,萬華區,20200927193421,25.025865,121.506536,國興路/青年路(西南側)(鄰近萬華親子館),Wanhua Dist.,Guoxing & Qingnian Intersection,The S.W. side of Guoxing Rd. & Qingnian Rd.,30,1
0069,興豐公園,34,0,文山區,20200819091244,24.999837,121.547778,興隆路二段123巷/興隆路二段(西北側),Wenshan Dist.,Xingfong Park,"The N.W. side of Ln. 123, Sec. 2, Xinglong Rd. & Sec. 2, Xinglong Rd.",0,0
0070,捷運台北101/世貿站,52,37,信義區,20200927193443,25.032752,121.561645,莊敬路/信義路五段(東南側)(鄰近台北世界貿易中心(世貿)/台北國際會議中心/信義公民會館(四四南村)/信義親子館),Xinyi Dist.,MRT Taipei 101/World Trade Center Sta.,"The S.E. side of Zhuangjing Rd. & Sec. 5, Xinyi Rd.",15,1
0071,捷運信義安和站(4號出口),30,13,大安區,20200927193416,25.032985,121.554204,通化街/信義路四段(西南側)(鄰近臨江街夜市(通化夜市)/大安親子館),Daan Dist.,MRT Xinyi Anhe Sta.(Exit.4),"The S.W. side of Tonghua St. & Sec. 4, Xinyi Road., Daan Dist.",17,1
0072,新生長安路口,42,24,中山區,20200927193444,25.048611,121.529346,新生北路一段/長安東路二段交叉口(北側),Zhongshan Dist.,Xinsheng & Changan Intersection,"The intersection of Sec. 1, Xinsheng N. Rd. & Sec. 2, Chang’an E. Rd.",17,1
0073,酒泉延平路口,32,9,大同區,20200927193435,25.072228,121.510195,延平北路四段/酒泉街(西北側),Datong Dist.,Jiuquan & Yanping Intersection,"The N.W. side of Sec. 4, Yanping N. Rd. & Jiuquan St.",23,1
0074,信義連雲街口,40,23,中正區,20200927193428,25.033817,121.530547,信義路二段/連雲街(東北側),Zhongzheng Dist.,Xinyi & Lianyun Intersection,"The N.S. side of Lianyun St. & Sec. 2, Xinyi Rd.",17,1
0075,基隆光復路口,30,17,信義區,20200927193434,25.0300508,121.557635,基隆路二段/光復南路(東北側)(鄰近通化夜市),Xinyi Dist.,Keelung & Guangfu Intersection,"The intersection of Sec. 2, Keelung Rd. & Guangfu S. Rd.",13,1
0076,新生長春路口,36,19,中山區,20200927193434,25.056387,121.527522,新生北路二段/新生北路二段68巷交叉口(新生橋下),Zhongshan Dist.,Xinsheng & Changchun Intersection,"Under the bridge- the intersection of Sec. 2, Xinsheng N. Rd. & Ln. 68, Sec. 2, Xinsheng N. Rd.",16,1
0077,民生活動中心,32,15,松山區,20200927193438,25.059147,121.56297,民生東路五段/三民路口(西北側)(鄰近松山親子館),Songshan Dist.,Minsheng Activity Center,"The N.W. side of Sec. 5, Minsheng E. Rd. & Sanmin Rd.",15,1
0078,捷運圓山站(2號出口),52,22,大同區,20200927193424,25.071824,121.519287,承德路三段/庫倫街(東南側)(鄰近台北孔廟/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館),Datong Dist.,MRT Yuanshan Sta. (Exit 2),"The S.E. side of Sec. 3, Chengde Rd. & Kulun St.",30,1
0079,捷運民權西路站(3號出口),50,23,大同區,20200927193440,25.061285,121.520205,民權西路70巷37號對面,Datong Dist.,MRT Minquan W.Rd. Sta.(Exit 3),"The opposite of No.37, Ln. 70, Minquan W. Rd.",26,1
0080,華江高中,44,11,萬華區,20200927193431,25.02751,121.495869,東園街/東園街35巷(東北側),Wanhua Dist.,Huajiang High School,"The N.E. side of Dongyuan St. & Ln. 35, Dongyuan St.",33,1
0081,捷運台電大樓站(2號出口),40,14,大安區,20200927193441,25.020547,121.528552,羅斯福路/辛亥路交叉口(古亭國小前),Daan Dist.,MRT Taipower Building Sta. (Exit 2),The intersection of Roosevelt Rd. & Xinhai Rd. (Gu Ting Elementary School) ,26,1
0082,捷運西門站(3號出口),60,29,中正區,20200927193432,25.041778,121.508693 ,中華路一段/寶慶路(東南側)(鄰近國軍歷史文物館/中山堂/西門紅樓),Zhongzheng Dist.,MRT Ximen Sta.(Exit 3),"The S.E. side of Sec. 1, Zhonghua Rd. & Baoqing Rd.",31,1
0083,捷運大安森林公園站,74,46,大安區,20200927193435,25.033344,121.534236,信義路三段31巷/信義路三段(南側)(鄰近大安森林公園),Daan Dist.,MRT Daan Park Sta.,"The S. side of Ln. 31, Sec. 3, Xinyi Rd. & Sec. 3, Xinyi Rd.",26,1
0084,復華花園新城,38,7,萬華區,20200927193425,25.029705,121.502899,西藏路115號/西藏路(東南側),Wanhua Dist.,Fuhua Garden New Village(City),"The S.E. side of No.115, Xizang Rd. & Xizang Rd.",30,1
0085,信義敦化路口,46,17,大安區,20200927193423,25.033362,121.54911,信義路四段/敦化南路一段(東北側),Daan Dist.,Xinyi & Dunhua Intersection,"The N.E. side of Sec. 4, Xinyi Rd. & Sec. 1, Dunhua S. Rd.",29,1
0086,民權復興路口,36,24,松山區,20200927193420,25.062344,121.545138,復興北路/民權東路三段(東北側),Songshan Dist.,Minquan & Fuxing Intersection,"The N.E. side of Fuxing N. Rd. & Sec. 3, Minquan E. Rd.",11,1
0087,捷運大安站,48,6,大安區,20200927193419,25.033078,121.543057,復興南路/信義路三段(西南側),Daan Dist.,MRT Daan Sta.,The S.W. side of Fuxing S. Rd. & Sec. 3 Xinyi Rd.,41,1
0088,捷運象山站,62,28,信義區,20200927193443,25.032922, 121.57087,信義路五段/信義路五段91巷(西北側),Xinyi Dist.,MRT Xiangshan Sta.,"The N.W. side of Sec. 5, Xinyi Rd. & Ln. 91, Sec. 5, Xinyi Rd.",33,1
0089,和平重慶路口,44,19,中正區,20200927193426,25.027323,121.516385,重慶南路三段/和平西路一段(東北側),Zhongzheng Dist.,Heping Chongqing Intersection,"The N.E. side of Sec. 3, Chongqing S. Rd. & Sec. 1, Heping W. Rd.",25,1
0090,老松國小,44,17,萬華區,20200927193438,25.037783,121.501708,康定路/桂林路(東南側)(鄰近艋舺龍山寺/艋舺清水巖祖師廟/台北市鄉土教育中心(剝皮寮歷史街區)),Wanhua Dist.,Laosong Elementary School,The S.E. side of Kangding Rd. & Guilin Rd.,27,1
0091,市立美術館,36,19,中山區,20200927193437,25.070629,121.523268,中山北路三段/酒泉街(西南側)(鄰近台北市立美術館/花博公園美術園區/台北故事館/花博公園圓山園區/花博圓山公園區-爭艷館/中山親子館),Zhongshan Dist.,Taipei Fine Arts Museum,"The S.W. side of Sec. 3, Zhongshan N. Rd. & Jiuquan St.",17,1
0092,開封西寧路口,42,29,萬華區,20200927193433,25.046618,121.507169,開封街二段/西寧南路(東北側)(鄰近西門町),Wanhua Dist.,Kaifong & Xining Intersection,"The N.E. side of Sec. 2, Kaifeng St. & Xining S. Rd.",13,1
0093,吳興公車總站,56,26,信義區,20200927193439,25.023877,121.569836,松仁路/吳興街交叉口,Xinyi Dist.,Wu Xing Bus Station.,The intersection of Songren Rd. & Wuxing St.,30,1
0094,捷運景美站,52,25,文山區,20200927193340,24.993254,121.541059,羅斯福路六段/景中街交叉口(東北側)(鄰近景美夜市),Wenshan Dist.,MRT Jingmei Sta.,"The intersectionof Sec. 6, Roosevelt Rd. & Jingzhong St.",27,1
0095,東園國小,32,10,萬華區,20200927193441,25.023393,121.497679,東園街/萬大路344巷(東南側),Wanhua Dist.,Dongyuan Elementary School,"The S.E. side of Dongyuan St. & Ln. 344, Wanda Rd.",22,1
0096,三民公園,30,7,松山區,20200927193430,25.061567,121.566558,撫遠街/富錦街(東南側),Songshan Dist.,Sanmin Park,The S.E. side of Fuyuan St. & Fujin St.,23,1
0097,捷運劍潭站(2號出口),52,13,士林區,20200927193420,25.082825,121.524721,基河路18號對面(鄰近劍潭公園),Shilin Dist.,MRT Jiantan Sta.(Exit 2),"The opposite of No.18, Jihe Rd.",39,1
0098,羅斯福景隆街口,42,22,文山區,20200927193417,24.999378,121.540197,羅斯福路六段/景隆街交叉口(東南側),Wenshan Dist.,Roosevelt & Jinglong Intersection,"The intersection of Sec. 6, Roosevelt Rd. & Jinglong St. (the S.E. side)",20,1
0099,捷運雙連站(2號出口),42,0,大同區,20200722114256,25.057866,121.520711,民生西路/萬全街(東北側),Datong Dist.,MRT Shuanglian Sta. (Exit 2),The N.E. side of Minsheng W. Rd. & Wanquan St.,2,1
0100,金山市民路口,40,18,中正區,20200927193426,25.045753,121.530697,金山北路/市民大道三段(南側)(鄰近華山文化創意產業園區/光華數位新天地(光華商場)/三創生活園區),Zhongzheng Dist.,Jinshen & Civic Blvd. Intersection,"The S. side of Jinshan N. Rd. & Sec. 3, Civic Blvd.",22,1
0101,華山文創園區,50,0,中正區,20200820100443,25.043668,121.528487,忠孝東路二段41號前(鄰近華山文化創意產業園區/光華數位新天地(光華商場)/三創生活園區),Zhongzheng Dist.,Huashan 1914‧Creative Park,"Front of No.41, Sec. 2, Zhongxiao E. Rd.",0,0
0102,臺北市客家文化主題公園,32,23,中正區,20200927193432,25.02043,121.525322,師大路/汀州路交叉口(鄰近客家文化主題公園(原兒童交通博物館)),Zhongzheng Dist.,Taipei City Hakka Cultural Park,The intersection of Shida Rd. & Tingzhou Rd.,9,1
0103,萬華車站,60,29,萬華區,20200927193443,25.033639,121.503028,艋舺大道83號(對側),Wanhua Dist.,Wanhua Rail Sta.,"No.83, Bangka Blvd. (oppsite)",31,1
0104,台北花木批發市場,38,24,文山區,20200927193426,25.004023,121.54074,萬盛街/興隆路一段(西北側),Wenshan Dist.,Taipei Pot Plant Auction,"The N.W. side of Wansheng St. Sec. 1, Xinglong Rd.",13,1
0105,峨嵋停車場,42,10,萬華區,20200927193429,25.044412,121.505409,昆明街/西寧南路50巷(東南側)(鄰近西門町/台北市電影主題公園/西門紅樓),Wanhua Dist.,Emei Parking Lot,"The S.E. side of Kunming St. & Ln. 50, Xining S. Rd. ",32,1
0106,西園艋舺路口,44,19,萬華區,20200927193441,25.032932,121.497674,西園路二段/艋舺大道(西南側),Wanhua Dist.,Xiyuan & Bangka Intersection,"The S.W. side of Sec. 2, Xiyuan Rd. & Bangka Blvd.",24,1
0107,捷運小南門站(1號出口),54,25,中正區,20200927193432,25.036402,121.509422,博愛路/愛國西路交叉口(西北側),Zhongzheng Dist.,MRT Xiaonanmen Sta. (Exit 1),The intersection of Bo’ai Rd. & Aiguo W. Rd.,29,1
0108,臺北孔廟,32,8,大同區,20200927193427,25.073306,121.515843,哈密街59巷/哈密街(東北側)(鄰近台北孔廟/保安宮),Datong Dist.,Taipei Confucius Temple,"The N.E. side of Ln. 59, Hami St. & Hami St.",24,1
0109,林安泰古厝,36,18,中山區,20200927193420,25.071606,121.530805,濱江街5號對面(鄰近林安泰古厝/花博公園新生園區),Zhongshan Dist.,Lin An-tai Historical House,"No.5, Binjiang St.",18,1
0110,文湖國小,44,6,內湖區,20200927193440,25.086376,121.560888,文湖街21巷/文湖街(東北側),Neihu Dist.,Wenhu Elementary School,"The N.E. side of Ln. 21, Wenhu St. & Wenhu St.",38,1
0111,捷運忠孝復興站(2號出口),54,38,大安區,20200927193434,25.040184,121.543497,復興南路一段/仁愛路三段123巷13弄(西北側),Daan Dist.,MRT Zhongxiao Fuxing Sta.(Exit 2),"The N.W. side of Sec. 1, Fuxing S. Rd. & Aly. 13, Ln. 123, Sec. 3, Ren’ai Rd.",13,1
0112,捷運新北投站,48,17,北投區,20200927193441,25.137456,121.503124,大業路/中和街交叉口(鄰近凱達格蘭文化館/北投復興公園),Beitou Dist.,MRT Xinbeitou Sta.,Daye Rd. & Zhonghe St.  Intersection,30,1
0113,仁愛逸仙路口,38,12,信義區,20200927193430,25.037724,121.561178,仁愛路四段/逸仙路(西北側)(鄰近國父紀念館/台北探索館),Xinyi Dist.,Renai & Yixian Intersection,"Sec. 4, Ren’ai Rd. & Yixian Rd.",26,1
0114,蘭雅公園,30,3,士林區,20200927193427,25.109908,121.530386,忠誠路二段/忠誠路二段40巷(西南側),Shilin Dist.,Lanya Park,"Sec. 2, Zhongcheng Rd. & Ln. 40, Sec. 2, Zhongcheng Rd.",25,1
0115,臺北轉運站,68,39,中正區,20200927193425,25.048222,121.520526,中山北路一段/市民大道一段(西北側)(鄰近台北當代藝術館/台北轉運站(京站時尚廣場)/國父史蹟紀念館(逸仙公園)/台北國際藝術村),Zhongzheng Dist.,Taipei Bus Sta.,"Sec. 1, Zhongshan N. Rd. & Sec. 1, Civic Blvd.",29,1
0116,福林公園,44,15,士林區,20200927193423,25.096122,121.530215,志成街/中正路(南側)(鄰近志成公園/福林公園),Shilin Dist.,Fulin Park,Zhicheng St. & Zhongzheng Rd.,29,1
0117,捷運北投站,58,3,北投區,20200927193435,25.132581,121.498618,光明路2巷/光明路交叉口(鄰近北投親子館),Beitou Dist.,MRT Beitou Sta.,"Ln. 2, Guangming Rd. & Guangming Rd.  Intersection",55,1
0118,大業大同街口,36,7,北投區,20200927193444,25.136929,121.499152,大業路/大同街口,Beitou Dist.,Daye & Datong Intersection,Daye Rd. & Datong St.  Intersection,29,1
0119,捷運劍南路站(2號出口),68,25,中山區,20200927193418,25.08418,121.555116,敬業二路/植福路(東北側)(鄰近美麗華百樂園/劍潭古寺),Zhongshan Dist.,MRT Jiannan Rd. Sta.(Exit 2),Jingye 2nd Rd. & Zhifu Rd.,43,1
0120,捷運龍山寺站(1號出口),46,4,萬華區,20200927193427,25.035479,121.50026,和平西路三段/和平西路三段109巷(西北側)(鄰近艋舺龍山寺/艋舺夜市(萬華夜市)),Wanhua Dist.,MRT Longshan Temple Sta. (Exit. 1),"Sec. 3, Heping W. Rd. & Ln. 109, Sec. 3, Heping W. Rd.",42,1
0121,龍江南京路口,66,18,中山區,20200927193420,25.05298,121.540568,龍江路110號對面停車場,Zhongshan Dist.,Longjiang & Nanjing Intersection,"No.100, Longjiang Rd.",48,1
0122,捷運港墘站(2號出口),50,28,內湖區,20200927193420,25.079666,121.57584,內湖路一段/港墘路(東南側),Neihu Dist.,MRT Gangqian Sta. (Exit 2),"Sec. 1, Neihu Rd./Gangqian Rd. (southeast)",22,1
0123,天母運動公園,44,22,士林區,20200927193444,25.116325,121.534136,忠誠路二段/忠誠路二段207巷(東南側),Shilin Dist.,Tienmu Sports Park,"Sec.2,Zhongcheng Rd./Ln.207,Sec.2,Zhongcheng Rd.",20,1
0124,振華公園,36,22,北投區,20200927193425,25.115863,121.518163,振華街36號對面,Beitou Dist.,Zenhua Park,"No.36, Zhenhua St.",14,1
0125,華西公園,30,9,萬華區,20200927193438,25.038609,121.498495,華西街/桂林路(東北側)(鄰近艋舺龍山寺/華西街夜市/艋舺青山宮/艋舺夜市(萬華夜市)),Wanhua Dist.,Huaxi Park,Huaxi St. & Guilin Rd.,21,1
0126,敦化基隆路口,30,3,大安區,20200927193418,25.022073,121.548336,敦化南路二段/基隆路二段交叉口,Daan Dist.,Dunhua & Keelung Intersection,"Sec. 2, Dunhua S. Rd. & Sec. 2, Keelung Rd.",27,1
0127,東湖國中,40,4,內湖區,20200927193421,25.073277,121.619521,康樂街/康樂街125巷(東南側),Neihu Dist.,Donghu Junior High School,"Kangle St./Ln. 125, Kangle St.",36,1
0128,成功國宅,36,14,大安區,20200927193437,25.026808,121.546726,四維路198巷/和平東路三段1巷,Daan Dist.,Chengong Public Housing,"Ln. 198, Siwei Rd./Ln. 1, Sec. 3, Heping E. Rd",22,1
0129,捷運文德站(2號出口),50,23,內湖區,20200927193418,25.078424,121.58456,文德路220巷/文德路(西南側),Neihu Dist.,MRT Wende Sta. (Exit 2),"Ln. 220, Wende Rd./Wende Rd.",27,1
0130,羅斯福寧波東街口,26,4,中正區,20200927193423,25.031445,121.519411,羅斯福路一段/寧波東街(東南側)(鄰近愛國東路婚紗街),Zhongzheng Dist.,Roosevelt & Ningbo E. St. Intersection,"Sec. 1, Roosevelt Rd. & Ningbo E. St.",22,1
0131,洲子二號公園,52,19,內湖區,20200927193430,25.079322,121.568688,瑞光路500號對面,Neihu Dist.,Zhouzhi Park No.2,"Opposite to the parking space No.500, Ruiguang Rd.",33,1
0132,羅斯福新生南路口,88,15,大安區,20200927193416,25.01603085,121.5331757,羅斯福路四段/新生南路三段交叉口(鄰近公館夜市),Daan Dist.,Roosevelt & Xinsheng S. Intersection,"Sec. 4, Roosevelt Rd./Sec. 3, Xinsheng S. Rd.",73,1
0133,蘭興公園,40,24,士林區,20200927193424,25.111839,121.525888,中山北路六段/士東路(西北側),Shilin Dist.,Lanxing Park,"Sec.6, Zhongshan N. Rd / Shidong Rd",16,1
0134,捷運芝山站(2號出口),64,28,士林區,20200927193421,25.10336,121.522629,福華路/福華路162巷(東南側),Shilin Dist.,MRT Zhishan Sta.(Exit 2),"Fuhua Rd. / Ln. 162, Fuhua Rd.",33,1
0135,捷運石牌站(2號出口),54,14,北投區,20200927193422,25.114513,121.515677,東華街一段/裕民二路(西側),Beitou Dist.,MRT Shipai Sta. (Exit 2),"Sec. 1, Donghua St. / Yumin 2nd Rd.",40,1
0136,國立臺北護理健康大學,30,6,北投區,20200927193421,25.117457,121.51668,石牌路二段100號(北側),Beitou Dist.,NTUNHS,"No.100, Sec. 1, Shihpai Rd.",24,1
0137,國防大學,46,19,北投區,20200927193422,25.137976,121.493066,中央北路二段/豐年路二段交叉口,Beitou Dist.,Nat’l Defense U.,"Sec. 2, Zhongyang N. Rd. / Sec. 2, Fengnian Rd.",27,1
0138,捷運永春站(2號出口),30,9,信義區,20200927193416,25.040558,121.575372,忠孝東路五段420號旁(東側巷道上),Xinyi Dist.,MRT Yongchun Sta. (Exit 2),"No.420, Sec. 5, Zhongxiao E. Rd.",21,1
0139,永樂市場,38,11,大同區,20200927193434,25.054501,121.510549,民樂街/南京西路233巷(西北側)(鄰近迪化街/永樂市場(永樂布業商場)/霞海城隍廟),Datong Dist.,Yongle Market,"Minle St., Datong Dist./Ln. 233, Nanjing W. Rd.",27,1
0140,捷運大橋頭站(2號出口),46,29,大同區,20200927193437,25.063404,121.512909,民權西路/重慶北路三段(東北側)(鄰近延三夜市(大橋頭夜市)),Datong Dist.,MRT Daqiaotou Sta. (Exit 2),"Minquan W. Rd./ Sec. 3, Chongqing N. Rd.",17,1
0141,文山行政中心,36,14,文山區,20200927193432,24.989902,121.569984,木柵路三段220號前,Wenshan Dist.,Wenshan Dist. Admin. Center,"No.220, Sec. 3, Muzha Rd.",22,1
0142,捷運木柵站,52,25,文山區,20200927193429,24.997996,121.57444,木柵路四段82巷18號前(捷運橋樑下),Wenshan Dist.,MRT Muzha Sta.,"No.18, Ln. 82, Sec. 4, Muzha Rd.",27,1
0143,捷運動物園站(2號出口),72,20,文山區,20200927193416,24.997659,121.578752,新光路二段28號前(鄰近台北市立動物園(木柵動物園)),Wenshan Dist.,MRT Taipei Zoo Sta.(Exit 2),"No.28, Sec. 2, Xinguang Rd.",52,1
0144,國立政治大學,58,17,文山區,20200927193428,24.988363,121.576536,萬壽路16巷6號前(鄰近國立政治大學),Wenshan Dist.,Nat’l Chengchi U.,"No.6, Ln. 16, Wanshou Rd.",39,1
0145,樹德公園,40,13,大同區,20200927193433,25.066688,121.516149,大龍街/大龍街85巷(東北側),Datong Dist.,Shude Park,"Dalong St. / Ln. 85, Dalong St.",27,1
0146,捷運士林站(2號出口),46,26,士林區,20200927193436,25.092546,121.526556,中正路247巷/中山北路五段505巷(東南側),Shilin Dist.,MRT Shilin Sta.(Exit 2),"Ln. 247, Zhongzheng Rd. / Ln. 505, Sec. 5, Zhongshan N. Rd.",20,1
